,id,match_date,kick_off_time,section,round,home_team,away_team,venue,weather,temperature,humidity,attendance,day_of_the_week
0,9190,"2006,3,4",16:04,1,1,G大阪,浦和,21,1,8.3,40,20916,7
1,9191,"2006,3,5",13:00,1,2,甲府,清水,35,1,12.9,28,14277,0
2,9192,"2006,3,5",13:35,1,2,FC東京,大分,27,1,12.1,35,22531,0
3,9193,"2006,3,5",14:04,1,2,磐田,福岡,57,1,11.6,42,28564,0
4,9194,"2006,3,5",14:04,1,2,名古屋,C大阪,26,1,13.1,32,17199,0
5,9195,"2006,3,5",15:03,1,2,大宮,千葉,29,1,12.6,33,13085,0
6,9196,"2006,3,5",15:00,1,2,川崎F,新潟,55,1,13.3,34,17444,0
7,9197,"2006,3,5",15:06,1,2,広島,鹿島,38,12,12.4,58,17564,0
8,9198,"2006,3,5",15:35,1,2,横浜FM,京都,41,1,12.6,34,23607,0
9,9199,"2006,3,11",14:04,2,1,浦和,磐田,29,1,16.0,48,56512,7
10,9200,"2006,3,11",15:02,2,1,千葉,甲府,14,1,15.3,51,11896,7
11,9201,"2006,3,11",15:04,2,1,新潟,FC東京,39,12,15.4,43,40266,7
12,9202,"2006,3,11",15:04,2,1,清水,名古屋,40,12,13.6,70,13054,7
13,9203,"2006,3,11",16:03,2,1,鹿島,横浜FM,52,1,13.8,66,22454,7
14,9204,"2006,3,11",16:06,2,1,京都,川崎F,23,1,16.4,50,7921,7
15,9205,"2006,3,11",19:04,2,1,福岡,大宮,46,12,15.4,66,12040,7
16,9206,"2006,3,12",14:06,2,2,大分,広島,22,0,9.4,54,17043,0
17,9207,"2006,3,12",15:06,2,2,C大阪,G大阪,31,12,10.6,67,30561,0
18,9208,"2006,3,18",14:04,3,1,FC東京,清水,27,26,14.8,44,19011,7
19,9209,"2006,3,18",14:03,3,1,磐田,京都,17,32,11.6,80,10560,7
20,9210,"2006,3,18",14:05,3,1,広島,浦和,38,32,8.4,87,16742,7
21,9211,"2006,3,18",15:01,3,1,大宮,新潟,29,12,15.3,46,9368,7
22,9212,"2006,3,18",15:04,3,1,甲府,川崎F,35,12,14.7,39,9082,7
23,9213,"2006,3,18",15:33,3,1,名古屋,鹿島,56,0,10.3,73,22651,7
24,9214,"2006,3,18",16:04,3,1,千葉,福岡,14,14,13.9,58,8567,7
25,9215,"2006,3,18",16:05,3,1,横浜FM,C大阪,41,32,12.3,76,19307,7
26,9216,"2006,3,18",19:04,3,1,G大阪,大分,21,32,9.0,79,8388,7
27,9217,"2006,3,21",14:04,4,1,鹿島,甲府,52,1,15.3,24,14815,2
28,9218,"2006,3,21",14:04,4,1,福岡,名古屋,46,14,12.5,47,8585,2
29,9219,"2006,3,21",15:04,4,1,浦和,C大阪,29,1,16.5,25,43815,2
30,9220,"2006,3,21",15:01,4,1,新潟,磐田,39,12,7.3,43,37585,2
31,9221,"2006,3,21",15:04,4,1,清水,千葉,40,1,13.9,32,12114,2
32,9222,"2006,3,21",15:04,4,1,大分,横浜FM,22,26,13.4,50,17341,2
33,9223,"2006,3,21",16:04,4,1,川崎F,FC東京,55,1,16.4,24,14191,2
34,9224,"2006,3,21",19:04,4,1,京都,広島,23,1,9.1,66,5556,2
35,9225,"2006,3,29",19:02,4,2,G大阪,大宮,21,12,5.9,42,9019,4
36,9226,"2006,3,25",15:00,5,1,大宮,清水,4,1,15.3,31,7354,7
37,9227,"2006,3,25",15:04,5,1,磐田,川崎F,17,1,13.6,58,11835,7
38,9228,"2006,3,25",15:02,5,1,C大阪,新潟,31,1,12.8,30,9442,7
39,9229,"2006,3,25",15:04,5,1,広島,G大阪,38,1,14.3,29,13067,7
40,9230,"2006,3,25",15:34,5,1,横浜FM,浦和,41,1,13.9,45,50572,7
41,9231,"2006,3,25",18:05,5,1,甲府,福岡,35,1,11.4,46,8604,7
42,9232,"2006,3,25",19:04,5,1,千葉,鹿島,14,1,9.9,63,16546,7
43,9233,"2006,3,26",14:05,5,2,名古屋,大分,26,1,15.9,44,11878,0
44,9234,"2006,3,26",16:04,5,2,FC東京,京都,27,12,16.1,38,17033,0
45,9235,"2006,4,1",15:02,6,1,横浜FM,FC東京,41,1,13.8,46,20977,7
46,9236,"2006,4,1",15:04,6,1,C大阪,甲府,31,12,13.1,33,6282,7
47,9237,"2006,4,1",19:04,6,1,清水,G大阪,40,12,10.0,64,10661,7
48,9238,"2006,4,2",14:04,6,2,京都,福岡,23,32,16.0,85,3670,0
49,9239,"2006,4,2",15:04,6,2,鹿島,大宮,52,14,16.9,69,11747,0
50,9240,"2006,4,2",15:00,6,2,川崎F,千葉,55,32,15.6,83,10316,0
51,9241,"2006,4,2",15:04,6,2,新潟,広島,39,32,10.5,71,34071,0
52,9242,"2006,4,2",15:04,6,2,大分,磐田,22,0,21.2,29,17406,0
53,9243,"2006,4,2",16:04,6,2,浦和,名古屋,29,14,15.9,79,44625,0
54,9244,"2006,4,8",14:00,7,1,甲府,新潟,47,12,7.9,45,14599,7
55,9245,"2006,4,8",15:05,7,1,大宮,横浜FM,4,1,17.4,28,8370,7
56,9246,"2006,4,8",15:02,7,1,千葉,C大阪,14,7,14.8,53,8770,7
57,9247,"2006,4,8",15:04,7,1,名古屋,京都,56,0,13.9,37,15311,7
58,9248,"2006,4,8",15:04,7,1,広島,川崎F,38,1,19.1,17,7418,7
59,9249,"2006,4,8",16:03,7,1,FC東京,磐田,27,1,15.5,25,24214,7
60,9250,"2006,4,8",19:04,7,1,G大阪,鹿島,21,12,12.9,31,17967,7
61,9251,"2006,4,9",13:04,7,2,清水,大分,40,1,18.6,37,10039,0
62,9252,"2006,4,9",15:05,7,2,福岡,浦和,46,12,20.3,28,21545,0
63,9253,"2006,4,15",15:02,8,1,鹿島,清水,52,1,10.4,51,12361,7
64,9254,"2006,4,15",15:05,8,1,浦和,京都,29,1,13.8,35,40657,7
65,9255,"2006,4,15",15:04,8,1,C大阪,福岡,31,32,12.5,71,10421,7
66,9256,"2006,4,15",15:04,8,1,大分,甲府,22,0,10.6,87,15138,7
67,9257,"2006,4,15",15:34,8,1,新潟,名古屋,39,9,15.6,24,39322,7
68,9258,"2006,4,15",16:04,8,1,FC東京,千葉,27,1,12.4,29,21190,7
69,9259,"2006,4,15",19:04,8,1,横浜FM,G大阪,41,1,10.7,36,28885,7
70,9260,"2006,4,16",15:05,8,2,川崎F,大宮,55,12,11.4,69,11149,0
71,9261,"2006,4,16",15:04,8,2,磐田,広島,17,1,18.2,42,11788,0
72,9262,"2006,4,22",14:00,9,1,名古屋,川崎F,26,12,17.0,44,11810,7
73,9263,"2006,4,22",14:03,9,1,G大阪,FC東京,21,12,15.8,42,15103,7
74,9264,"2006,4,22",15:00,9,1,大宮,大分,4,2,18.3,28,6162,7
75,9265,"2006,4,22",15:05,9,1,千葉,磐田,14,1,15.8,48,15184,7
76,9266,"2006,4,22",15:04,9,1,京都,鹿島,23,12,16.1,50,12295,7
77,9267,"2006,4,22",15:04,9,1,広島,C大阪,38,32,10.1,83,6794,7
78,9268,"2006,4,22",19:04,9,1,清水,浦和,57,12,13.5,60,23406,7
79,9269,"2006,4,23",15:04,9,2,甲府,横浜FM,35,12,18.3,55,14615,0
80,9270,"2006,4,23",15:05,9,2,福岡,新潟,46,1,18.1,66,8667,0
81,9271,"2006,4,29",15:00,10,1,鹿島,福岡,52,12,18.8,53,13450,7
82,9272,"2006,4,29",15:04,10,1,浦和,大宮,29,21,16.1,70,54774,7
83,9273,"2006,4,29",15:00,10,1,川崎F,清水,55,34,15.8,76,13300,7
84,9274,"2006,4,29",15:06,10,1,横浜FM,広島,41,12,16.3,78,20232,7
85,9275,"2006,4,29",15:02,10,1,C大阪,京都,31,1,17.8,48,20268,7
86,9276,"2006,4,29",15:04,10,1,大分,千葉,22,2,21.6,61,20543,7
87,9277,"2006,4,29",19:04,10,1,FC東京,名古屋,27,12,15.2,70,22188,7
88,9278,"2006,4,30",13:04,10,2,磐田,甲府,17,1,21.8,63,14642,0
89,9279,"2006,4,30",15:04,10,2,新潟,G大阪,39,32,19.3,42,41430,0
90,9280,"2006,5,3",14:04,11,1,甲府,FC東京,35,1,22.4,31,15427,4
91,9281,"2006,5,3",15:04,11,1,鹿島,大分,52,1,15.8,46,22948,4
92,9282,"2006,5,3",15:04,11,1,清水,C大阪,40,2,17.8,51,18241,4
93,9283,"2006,5,3",15:04,11,1,京都,新潟,23,1,22.8,27,11221,4
94,9284,"2006,5,3",15:00,11,1,福岡,川崎F,46,1,17.1,54,11101,4
95,9285,"2006,5,3",16:04,11,1,大宮,広島,4,1,17.3,36,9031,4
96,9286,"2006,5,3",16:03,11,1,千葉,浦和,14,1,14.4,48,17438,4
97,9287,"2006,5,3",19:04,11,1,名古屋,横浜FM,56,1,14.5,67,25687,4
98,9288,"2006,7,12",19:04,11,2,G大阪,磐田,53,34,26.9,95,15343,4
99,9289,"2006,5,6",15:04,12,1,FC東京,大宮,27,1,23.2,45,25128,7
100,9290,"2006,5,6",15:04,12,1,横浜FM,千葉,41,1,22.2,50,32073,7
101,9291,"2006,5,6",15:04,12,1,磐田,名古屋,57,12,20.0,60,36376,7
102,9292,"2006,5,6",15:04,12,1,大分,京都,22,0,21.3,68,21874,7
103,9293,"2006,5,6",17:06,12,1,広島,福岡,38,32,16.4,94,12466,7
104,9294,"2006,5,6",19:04,12,1,新潟,清水,39,9,17.3,66,42056,7
105,9295,"2006,5,6",19:05,12,1,G大阪,甲府,21,14,21.4,42,18193,7
106,9296,"2006,5,7",15:04,12,2,浦和,鹿島,29,32,19.6,79,56982,0
107,9297,"2006,5,7",15:05,12,2,川崎F,C大阪,55,38,18.9,82,9430,0
108,9298,"2006,7,19",19:04,13,1,鹿島,川崎F,52,12,21.4,80,7427,4
109,9299,"2006,7,19",19:04,13,1,大宮,磐田,4,12,22.4,83,5806,4
110,9300,"2006,7,19",19:04,13,1,千葉,G大阪,14,12,21.4,85,15322,4
111,9301,"2006,7,19",19:04,13,1,甲府,京都,35,12,22.3,83,8025,4
112,9302,"2006,7,19",19:04,13,1,新潟,浦和,39,1,23.5,76,38592,4
113,9303,"2006,7,19",19:02,13,1,清水,横浜FM,40,12,22.6,79,10183,4
114,9304,"2006,7,19",19:01,13,1,名古屋,広島,26,1,26.5,64,6760,4
115,9305,"2006,7,19",19:00,13,1,C大阪,大分,31,12,24.6,79,6806,4
116,9306,"2006,7,19",19:04,13,1,福岡,FC東京,46,32,23.2,96,12142,4
117,9307,"2006,7,22",18:06,14,1,FC東京,鹿島,47,1,25.1,54,17070,7
118,9308,"2006,7,22",18:06,14,1,広島,千葉,38,1,24.6,87,13432,7
119,9309,"2006,7,22",19:00,14,1,大宮,甲府,4,12,24.5,80,7493,7
120,9310,"2006,7,22",19:04,14,1,川崎F,浦和,55,12,24.4,77,23005,7
121,9311,"2006,7,22",19:02,14,1,磐田,C大阪,17,12,25.1,75,13524,7
122,9312,"2006,7,22",19:05,14,1,G大阪,名古屋,21,12,26.7,75,17864,7
123,9313,"2006,7,22",19:04,14,1,大分,新潟,22,15,26.1,80,19304,7
124,9314,"2006,7,23",19:05,14,2,横浜FM,福岡,41,21,24.8,84,19223,0
125,9315,"2006,7,23",19:05,14,2,京都,清水,23,32,22.8,98,9005,0
126,9316,"2006,7,26",19:04,15,1,浦和,大分,4,1,28.3,68,16040,4
127,9317,"2006,7,26",19:05,15,1,川崎F,G大阪,55,1,26.8,74,20425,4
128,9318,"2006,7,26",19:02,15,1,新潟,鹿島,39,1,24.5,73,39278,4
129,9319,"2006,7,26",19:04,15,1,磐田,横浜FM,17,1,25.8,79,12875,4
130,9320,"2006,7,26",19:00,15,1,名古屋,大宮,26,1,30.4,66,6618,4
131,9321,"2006,7,26",19:04,15,1,京都,千葉,23,1,30.5,74,13225,4
132,9322,"2006,7,26",19:05,15,1,C大阪,FC東京,31,1,28.8,83,8027,4
133,9323,"2006,7,26",19:00,15,1,広島,甲府,38,21,25.0,89,5545,4
134,9324,"2006,7,26",19:00,15,1,福岡,清水,46,1,28.3,78,13655,4
135,9325,"2006,7,29",18:04,16,1,大宮,京都,51,12,29.8,51,7278,7
136,9326,"2006,7,29",18:34,16,1,FC東京,広島,27,12,27.7,72,31684,7
137,9327,"2006,7,29",18:34,16,1,甲府,浦和,35,12,28.1,62,17000,7
138,9328,"2006,7,29",19:05,16,1,鹿島,C大阪,52,12,24.1,88,14289,7
139,9329,"2006,7,29",19:05,16,1,清水,磐田,57,12,28.0,65,24920,7
140,9330,"2006,7,29",19:04,16,1,G大阪,福岡,21,1,27.3,75,14621,7
141,9331,"2006,7,29",19:04,16,1,大分,川崎F,22,1,29.6,73,20873,7
142,9332,"2006,7,30",19:04,16,2,千葉,名古屋,14,1,22.8,74,16961,0
143,9333,"2006,7,30",19:04,16,2,横浜FM,新潟,41,12,24.7,59,24032,0
144,9334,"2006,8,12",18:00,17,1,広島,清水,38,1,27.3,82,10569,7
145,9335,"2006,8,12",19:04,17,1,浦和,FC東京,29,1,24.1,88,50195,7
146,9336,"2006,8,12",19:04,17,1,川崎F,横浜FM,55,12,24.1,81,20144,7
147,9337,"2006,8,12",19:00,17,1,新潟,千葉,39,1,27.2,59,41487,7
