,id,match_date,kick_off_time,section,round,home_team,away_team,venue,weather,temperature,humidity,attendance,venue_id,day_of_the_week,month,year,kick_off_time_hour,home_team_id,capacity,away_team_id
0,9190,2006-03-04,16:04,1,1,G大阪,浦和,万博記念競技場,1,8.3,40.0,20916,21,6,3,2006,16,2,21000,20
1,9191,2006-03-05,13:00,1,2,甲府,清水,山梨県小瀬スポーツ公園陸上競技場,1,12.9,28.0,14277,35,0,3,2006,13,23,15859,21
2,9192,2006-03-05,13:35,1,2,FC東京,大分,味の素スタジアム,1,12.1,35.0,22531,27,0,3,2006,13,1,48999,7
3,9193,2006-03-05,14:04,1,2,磐田,福岡,静岡スタジアムエコパ,1,11.6,42.0,28564,57,0,3,2006,14,24,51697,26
4,9194,2006-03-05,14:04,1,2,名古屋,C大阪,名古屋市瑞穂陸上競技場,1,13.1,32.0,17199,26,0,3,2006,14,6,20223,0
5,9195,2006-03-05,15:03,1,2,大宮,千葉,埼玉スタジアム2002,1,12.6,33.0,13085,29,0,3,2006,15,8,62010,5
6,9196,2006-03-05,15:00,1,2,川崎F,新潟,等々力陸上競技場,1,13.3,34.0,17444,55,0,3,2006,15,10,26827,13
7,9197,2006-03-05,15:06,1,2,広島,鹿島,広島ビッグアーチ,12,12.4,58.0,17564,38,0,3,2006,15,11,36894,28
8,9198,2006-03-05,15:35,1,2,横浜FM,京都,日産スタジアム,1,12.6,34.0,23607,41,0,3,2006,15,19,72081,3
9,9199,2006-03-11,14:04,2,1,浦和,磐田,埼玉スタジアム2002,1,16.0,48.0,56512,29,6,3,2006,14,20,62010,24
10,9200,2006-03-11,15:02,2,1,千葉,甲府,フクダ電子アリーナ,1,15.3,51.0,11896,14,6,3,2006,15,5,19470,23
11,9201,2006-03-11,15:04,2,1,新潟,FC東京,新潟スタジアム,12,15.4,43.0,40266,39,6,3,2006,15,13,41684,1
12,9202,2006-03-11,15:04,2,1,清水,名古屋,日本平スタジアム,12,13.6,70.0,13054,40,6,3,2006,15,21,20248,6
13,9203,2006-03-11,16:03,2,1,鹿島,横浜FM,県立カシマサッカースタジアム,1,13.8,66.0,22454,52,6,3,2006,16,28,37496,19
14,9204,2006-03-11,16:06,2,1,京都,川崎F,京都市西京極総合運動公園陸上競技場兼球技場,1,16.4,50.0,7921,23,6,3,2006,16,3,20588,10
15,9205,2006-03-11,19:04,2,1,福岡,大宮,東平尾公園博多の森球技場,12,15.4,66.0,12040,46,6,3,2006,19,26,22331,8
16,9206,2006-03-12,14:06,2,2,大分,広島,九州石油ドーム,0,9.4,54.0,17043,22,0,3,2006,14,7,31997,11
17,9207,2006-03-12,15:06,2,2,C大阪,G大阪,大阪長居スタジアム,12,10.6,67.0,30561,31,0,3,2006,15,0,47853,2
18,9208,2006-03-18,14:04,3,1,FC東京,清水,味の素スタジアム,26,14.8,44.0,19011,27,6,3,2006,14,1,48999,21
19,9209,2006-03-18,14:03,3,1,磐田,京都,ヤマハスタジアム(磐田),32,11.6,80.0,10560,17,6,3,2006,14,24,15165,3
20,9210,2006-03-18,14:05,3,1,広島,浦和,広島ビッグアーチ,32,8.4,87.0,16742,38,6,3,2006,14,11,36894,20
21,9211,2006-03-18,15:01,3,1,大宮,新潟,埼玉スタジアム2002,12,15.3,46.0,9368,29,6,3,2006,15,8,62010,13
22,9212,2006-03-18,15:04,3,1,甲府,川崎F,山梨県小瀬スポーツ公園陸上競技場,12,14.7,39.0,9082,35,6,3,2006,15,23,15859,10
23,9213,2006-03-18,15:33,3,1,名古屋,鹿島,豊田スタジアム,0,10.3,73.0,22651,56,6,3,2006,15,6,41255,28
24,9214,2006-03-18,16:04,3,1,千葉,福岡,フクダ電子アリーナ,14,13.9,58.0,8567,14,6,3,2006,16,5,19470,26
25,9215,2006-03-18,16:05,3,1,横浜FM,C大阪,日産スタジアム,32,12.3,76.0,19307,41,6,3,2006,16,19,72081,0
26,9216,2006-03-18,19:04,3,1,G大阪,大分,万博記念競技場,32,9.0,79.0,8388,21,6,3,2006,19,2,21000,7
27,9217,2006-03-21,14:04,4,1,鹿島,甲府,県立カシマサッカースタジアム,1,15.3,24.0,14815,52,2,3,2006,14,28,37496,23
28,9218,2006-03-21,14:04,4,1,福岡,名古屋,東平尾公園博多の森球技場,14,12.5,47.0,8585,46,2,3,2006,14,26,22331,6
29,9219,2006-03-21,15:04,4,1,浦和,C大阪,埼玉スタジアム2002,1,16.5,25.0,43815,29,2,3,2006,15,20,62010,0
30,9220,2006-03-21,15:01,4,1,新潟,磐田,新潟スタジアム,12,7.3,43.0,37585,39,2,3,2006,15,13,41684,24
31,9221,2006-03-21,15:04,4,1,清水,千葉,日本平スタジアム,1,13.9,32.0,12114,40,2,3,2006,15,21,20248,5
32,9222,2006-03-21,15:04,4,1,大分,横浜FM,九州石油ドーム,26,13.4,50.0,17341,22,2,3,2006,15,7,31997,19
33,9223,2006-03-21,16:04,4,1,川崎F,FC東京,等々力陸上競技場,1,16.4,24.0,14191,55,2,3,2006,16,10,26827,1
34,9224,2006-03-21,19:04,4,1,京都,広島,京都市西京極総合運動公園陸上競技場兼球技場,1,9.1,66.0,5556,23,2,3,2006,19,3,20588,11
35,9225,2006-03-29,19:02,4,2,G大阪,大宮,万博記念競技場,12,5.9,42.0,9019,21,3,3,2006,19,2,21000,8
36,9226,2006-03-25,15:00,5,1,大宮,清水,さいたま市浦和駒場スタジアム,1,15.3,31.0,7354,4,6,3,2006,15,8,21500,21
37,9227,2006-03-25,15:04,5,1,磐田,川崎F,ヤマハスタジアム(磐田),1,13.6,58.0,11835,17,6,3,2006,15,24,15165,10
38,9228,2006-03-25,15:02,5,1,C大阪,新潟,大阪長居スタジアム,1,12.8,30.0,9442,31,6,3,2006,15,0,47853,13
39,9229,2006-03-25,15:04,5,1,広島,G大阪,広島ビッグアーチ,1,14.3,29.0,13067,38,6,3,2006,15,11,36894,2
40,9230,2006-03-25,15:34,5,1,横浜FM,浦和,日産スタジアム,1,13.9,45.0,50572,41,6,3,2006,15,19,72081,20
41,9231,2006-03-25,18:05,5,1,甲府,福岡,山梨県小瀬スポーツ公園陸上競技場,1,11.4,46.0,8604,35,6,3,2006,18,23,15859,26
42,9232,2006-03-25,19:04,5,1,千葉,鹿島,フクダ電子アリーナ,1,9.9,63.0,16546,14,6,3,2006,19,5,19470,28
43,9233,2006-03-26,14:05,5,2,名古屋,大分,名古屋市瑞穂陸上競技場,1,15.9,44.0,11878,26,0,3,2006,14,6,20223,7
44,9234,2006-03-26,16:04,5,2,FC東京,京都,味の素スタジアム,12,16.1,38.0,17033,27,0,3,2006,16,1,48999,3
45,9235,2006-04-01,15:02,6,1,横浜FM,FC東京,日産スタジアム,1,13.8,46.0,20977,41,6,4,2006,15,19,72081,1
46,9236,2006-04-01,15:04,6,1,C大阪,甲府,大阪長居スタジアム,12,13.1,33.0,6282,31,6,4,2006,15,0,47853,23
47,9237,2006-04-01,19:04,6,1,清水,G大阪,日本平スタジアム,12,10.0,64.0,10661,40,6,4,2006,19,21,20248,2
48,9238,2006-04-02,14:04,6,2,京都,福岡,京都市西京極総合運動公園陸上競技場兼球技場,32,16.0,85.0,3670,23,0,4,2006,14,3,20588,26
49,9239,2006-04-02,15:04,6,2,鹿島,大宮,県立カシマサッカースタジアム,14,16.9,69.0,11747,52,0,4,2006,15,28,37496,8
50,9240,2006-04-02,15:00,6,2,川崎F,千葉,等々力陸上競技場,32,15.6,83.0,10316,55,0,4,2006,15,10,26827,5
51,9241,2006-04-02,15:04,6,2,新潟,広島,新潟スタジアム,32,10.5,71.0,34071,39,0,4,2006,15,13,41684,11
52,9242,2006-04-02,15:04,6,2,大分,磐田,九州石油ドーム,0,21.2,29.0,17406,22,0,4,2006,15,7,31997,24
53,9243,2006-04-02,16:04,6,2,浦和,名古屋,埼玉スタジアム2002,14,15.9,79.0,44625,29,0,4,2006,16,20,62010,6
54,9244,2006-04-08,14:00,7,1,甲府,新潟,松本平広域公園総合球技場,12,7.9,45.0,14599,47,6,4,2006,14,23,20336,13
55,9245,2006-04-08,15:05,7,1,大宮,横浜FM,さいたま市浦和駒場スタジアム,1,17.4,28.0,8370,4,6,4,2006,15,8,21500,19
56,9246,2006-04-08,15:02,7,1,千葉,C大阪,フクダ電子アリーナ,7,14.8,53.0,8770,14,6,4,2006,15,5,19470,0
57,9247,2006-04-08,15:04,7,1,名古屋,京都,豊田スタジアム,0,13.9,37.0,15311,56,6,4,2006,15,6,41255,3
58,9248,2006-04-08,15:04,7,1,広島,川崎F,広島ビッグアーチ,1,19.1,17.0,7418,38,6,4,2006,15,11,36894,10
59,9249,2006-04-08,16:03,7,1,FC東京,磐田,味の素スタジアム,1,15.5,25.0,24214,27,6,4,2006,16,1,48999,24
60,9250,2006-04-08,19:04,7,1,G大阪,鹿島,万博記念競技場,12,12.9,31.0,17967,21,6,4,2006,19,2,21000,28
61,9251,2006-04-09,13:04,7,2,清水,大分,日本平スタジアム,1,18.6,37.0,10039,40,0,4,2006,13,21,20248,7
62,9252,2006-04-09,15:05,7,2,福岡,浦和,東平尾公園博多の森球技場,12,20.3,28.0,21545,46,0,4,2006,15,26,22331,20
63,9253,2006-04-15,15:02,8,1,鹿島,清水,県立カシマサッカースタジアム,1,10.4,51.0,12361,52,6,4,2006,15,28,37496,21
64,9254,2006-04-15,15:05,8,1,浦和,京都,埼玉スタジアム2002,1,13.8,35.0,40657,29,6,4,2006,15,20,62010,3
65,9255,2006-04-15,15:04,8,1,C大阪,福岡,大阪長居スタジアム,32,12.5,71.0,10421,31,6,4,2006,15,0,47853,26
66,9256,2006-04-15,15:04,8,1,大分,甲府,九州石油ドーム,0,10.6,87.0,15138,22,6,4,2006,15,7,31997,23
67,9257,2006-04-15,15:34,8,1,新潟,名古屋,新潟スタジアム,9,15.6,24.0,39322,39,6,4,2006,15,13,41684,6
68,9258,2006-04-15,16:04,8,1,FC東京,千葉,味の素スタジアム,1,12.4,29.0,21190,27,6,4,2006,16,1,48999,5
69,9259,2006-04-15,19:04,8,1,横浜FM,G大阪,日産スタジアム,1,10.7,36.0,28885,41,6,4,2006,19,19,72081,2
70,9260,2006-04-16,15:05,8,2,川崎F,大宮,等々力陸上競技場,12,11.4,69.0,11149,55,0,4,2006,15,10,26827,8
71,9261,2006-04-16,15:04,8,2,磐田,広島,ヤマハスタジアム(磐田),1,18.2,42.0,11788,17,0,4,2006,15,24,15165,11
72,9262,2006-04-22,14:00,9,1,名古屋,川崎F,名古屋市瑞穂陸上競技場,12,17.0,44.0,11810,26,6,4,2006,14,6,20223,10
73,9263,2006-04-22,14:03,9,1,G大阪,FC東京,万博記念競技場,12,15.8,42.0,15103,21,6,4,2006,14,2,21000,1
74,9264,2006-04-22,15:00,9,1,大宮,大分,さいたま市浦和駒場スタジアム,2,18.3,28.0,6162,4,6,4,2006,15,8,21500,7
75,9265,2006-04-22,15:05,9,1,千葉,磐田,フクダ電子アリーナ,1,15.8,48.0,15184,14,6,4,2006,15,5,19470,24
76,9266,2006-04-22,15:04,9,1,京都,鹿島,京都市西京極総合運動公園陸上競技場兼球技場,12,16.1,50.0,12295,23,6,4,2006,15,3,20588,28
77,9267,2006-04-22,15:04,9,1,広島,C大阪,広島ビッグアーチ,32,10.1,83.0,6794,38,6,4,2006,15,11,36894,0
78,9268,2006-04-22,19:04,9,1,清水,浦和,静岡スタジアムエコパ,12,13.5,60.0,23406,57,6,4,2006,19,21,51697,20
79,9269,2006-04-23,15:04,9,2,甲府,横浜FM,山梨県小瀬スポーツ公園陸上競技場,12,18.3,55.0,14615,35,0,4,2006,15,23,15859,19
80,9270,2006-04-23,15:05,9,2,福岡,新潟,東平尾公園博多の森球技場,1,18.1,66.0,8667,46,0,4,2006,15,26,22331,13
81,9271,2006-04-29,15:00,10,1,鹿島,福岡,県立カシマサッカースタジアム,12,18.8,53.0,13450,52,6,4,2006,15,28,37496,26
82,9272,2006-04-29,15:04,10,1,浦和,大宮,埼玉スタジアム2002,21,16.1,70.0,54774,29,6,4,2006,15,20,62010,8
83,9273,2006-04-29,15:00,10,1,川崎F,清水,等々力陸上競技場,34,15.8,76.0,13300,55,6,4,2006,15,10,26827,21
84,9274,2006-04-29,15:06,10,1,横浜FM,広島,日産スタジアム,12,16.3,78.0,20232,41,6,4,2006,15,19,72081,11
85,9275,2006-04-29,15:02,10,1,C大阪,京都,大阪長居スタジアム,1,17.8,48.0,20268,31,6,4,2006,15,0,47853,3
86,9276,2006-04-29,15:04,10,1,大分,千葉,九州石油ドーム,2,21.6,61.0,20543,22,6,4,2006,15,7,31997,5
87,9277,2006-04-29,19:04,10,1,FC東京,名古屋,味の素スタジアム,12,15.2,70.0,22188,27,6,4,2006,19,1,48999,6
88,9278,2006-04-30,13:04,10,2,磐田,甲府,ヤマハスタジアム(磐田),1,21.8,63.0,14642,17,0,4,2006,13,24,15165,23
89,9279,2006-04-30,15:04,10,2,新潟,G大阪,新潟スタジアム,32,19.3,42.0,41430,39,0,4,2006,15,13,41684,2
90,9280,2006-05-03,14:04,11,1,甲府,FC東京,山梨県小瀬スポーツ公園陸上競技場,1,22.4,31.0,15427,35,3,5,2006,14,23,15859,1
91,9281,2006-05-03,15:04,11,1,鹿島,大分,県立カシマサッカースタジアム,1,15.8,46.0,22948,52,3,5,2006,15,28,37496,7
92,9282,2006-05-03,15:04,11,1,清水,C大阪,日本平スタジアム,2,17.8,51.0,18241,40,3,5,2006,15,21,20248,0
93,9283,2006-05-03,15:04,11,1,京都,新潟,京都市西京極総合運動公園陸上競技場兼球技場,1,22.8,27.0,11221,23,3,5,2006,15,3,20588,13
94,9284,2006-05-03,15:00,11,1,福岡,川崎F,東平尾公園博多の森球技場,1,17.1,54.0,11101,46,3,5,2006,15,26,22331,10
95,9285,2006-05-03,16:04,11,1,大宮,広島,さいたま市浦和駒場スタジアム,1,17.3,36.0,9031,4,3,5,2006,16,8,21500,11
96,9286,2006-05-03,16:03,11,1,千葉,浦和,フクダ電子アリーナ,1,14.4,48.0,17438,14,3,5,2006,16,5,19470,20
97,9287,2006-05-03,19:04,11,1,名古屋,横浜FM,豊田スタジアム,1,14.5,67.0,25687,56,3,5,2006,19,6,41255,19
98,9288,2006-07-12,19:04,11,2,G大阪,磐田,石川県西部緑地公園陸上競技場,34,26.9,95.0,15343,53,3,7,2006,19,2,20261,24
99,9289,2006-05-06,15:04,12,1,FC東京,大宮,味の素スタジアム,1,23.2,45.0,25128,27,6,5,2006,15,1,48999,8
100,9290,2006-05-06,15:04,12,1,横浜FM,千葉,日産スタジアム,1,22.2,50.0,32073,41,6,5,2006,15,19,72081,5
101,9291,2006-05-06,15:04,12,1,磐田,名古屋,静岡スタジアムエコパ,12,20.0,60.0,36376,57,6,5,2006,15,24,51697,6
102,9292,2006-05-06,15:04,12,1,大分,京都,九州石油ドーム,0,21.3,68.0,21874,22,6,5,2006,15,7,31997,3
103,9293,2006-05-06,17:06,12,1,広島,福岡,広島ビッグアーチ,32,16.4,94.0,12466,38,6,5,2006,17,11,36894,26
104,9294,2006-05-06,19:04,12,1,新潟,清水,新潟スタジアム,9,17.3,66.0,42056,39,6,5,2006,19,13,41684,21
105,9295,2006-05-06,19:05,12,1,G大阪,甲府,万博記念競技場,14,21.4,42.0,18193,21,6,5,2006,19,2,21000,23
106,9296,2006-05-07,15:04,12,2,浦和,鹿島,埼玉スタジアム2002,32,19.6,79.0,56982,29,0,5,2006,15,20,62010,28
107,9297,2006-05-07,15:05,12,2,川崎F,C大阪,等々力陸上競技場,38,18.9,82.0,9430,55,0,5,2006,15,10,26827,0
108,9298,2006-07-19,19:04,13,1,鹿島,川崎F,県立カシマサッカースタジアム,12,21.4,80.0,7427,52,3,7,2006,19,28,37496,10
109,9299,2006-07-19,19:04,13,1,大宮,磐田,さいたま市浦和駒場スタジアム,12,22.4,83.0,5806,4,3,7,2006,19,8,21500,24
110,9300,2006-07-19,19:04,13,1,千葉,G大阪,フクダ電子アリーナ,12,21.4,85.0,15322,14,3,7,2006,19,5,19470,2
111,9301,2006-07-19,19:04,13,1,甲府,京都,山梨県小瀬スポーツ公園陸上競技場,12,22.3,83.0,8025,35,3,7,2006,19,23,15859,3
112,9302,2006-07-19,19:04,13,1,新潟,浦和,新潟スタジアム,1,23.5,76.0,38592,39,3,7,2006,19,13,41684,20
113,9303,2006-07-19,19:02,13,1,清水,横浜FM,日本平スタジアム,12,22.6,79.0,10183,40,3,7,2006,19,21,20248,19
114,9304,2006-07-19,19:01,13,1,名古屋,広島,名古屋市瑞穂陸上競技場,1,26.5,64.0,6760,26,3,7,2006,19,6,20223,11
115,9305,2006-07-19,19:00,13,1,C大阪,大分,大阪長居スタジアム,12,24.6,79.0,6806,31,3,7,2006,19,0,47853,7
116,9306,2006-07-19,19:04,13,1,福岡,FC東京,東平尾公園博多の森球技場,32,23.2,96.0,12142,46,3,7,2006,19,26,22331,1
117,9307,2006-07-22,18:06,14,1,FC東京,鹿島,松本平広域公園総合球技場,1,25.1,54.0,17070,47,6,7,2006,18,1,20336,28
118,9308,2006-07-22,18:06,14,1,広島,千葉,広島ビッグアーチ,1,24.6,87.0,13432,38,6,7,2006,18,11,36894,5
119,9309,2006-07-22,19:00,14,1,大宮,甲府,さいたま市浦和駒場スタジアム,12,24.5,80.0,7493,4,6,7,2006,19,8,21500,23
120,9310,2006-07-22,19:04,14,1,川崎F,浦和,等々力陸上競技場,12,24.4,77.0,23005,55,6,7,2006,19,10,26827,20
121,9311,2006-07-22,19:02,14,1,磐田,C大阪,ヤマハスタジアム(磐田),12,25.1,75.0,13524,17,6,7,2006,19,24,15165,0
122,9312,2006-07-22,19:05,14,1,G大阪,名古屋,万博記念競技場,12,26.7,75.0,17864,21,6,7,2006,19,2,21000,6
123,9313,2006-07-22,19:04,14,1,大分,新潟,九州石油ドーム,15,26.1,80.0,19304,22,6,7,2006,19,7,31997,13
124,9314,2006-07-23,19:05,14,2,横浜FM,福岡,日産スタジアム,21,24.8,84.0,19223,41,0,7,2006,19,19,72081,26
125,9315,2006-07-23,19:05,14,2,京都,清水,京都市西京極総合運動公園陸上競技場兼球技場,32,22.8,98.0,9005,23,0,7,2006,19,3,20588,21
126,9316,2006-07-26,19:04,15,1,浦和,大分,さいたま市浦和駒場スタジアム,1,28.3,68.0,16040,4,3,7,2006,19,20,21500,7
127,9317,2006-07-26,19:05,15,1,川崎F,G大阪,等々力陸上競技場,1,26.8,74.0,20425,55,3,7,2006,19,10,26827,2
128,9318,2006-07-26,19:02,15,1,新潟,鹿島,新潟スタジアム,1,24.5,73.0,39278,39,3,7,2006,19,13,41684,28
129,9319,2006-07-26,19:04,15,1,磐田,横浜FM,ヤマハスタジアム(磐田),1,25.8,79.0,12875,17,3,7,2006,19,24,15165,19
130,9320,2006-07-26,19:00,15,1,名古屋,大宮,名古屋市瑞穂陸上競技場,1,30.4,66.0,6618,26,3,7,2006,19,6,20223,8
131,9321,2006-07-26,19:04,15,1,京都,千葉,京都市西京極総合運動公園陸上競技場兼球技場,1,30.5,74.0,13225,23,3,7,2006,19,3,20588,5
132,9322,2006-07-26,19:05,15,1,C大阪,FC東京,大阪長居スタジアム,1,28.8,83.0,8027,31,3,7,2006,19,0,47853,1
133,9323,2006-07-26,19:00,15,1,広島,甲府,広島ビッグアーチ,21,25.0,89.0,5545,38,3,7,2006,19,11,36894,23
134,9324,2006-07-26,19:00,15,1,福岡,清水,東平尾公園博多の森球技場,1,28.3,78.0,13655,46,3,7,2006,19,26,22331,21
135,9325,2006-07-29,18:04,16,1,大宮,京都,熊谷スポーツ文化公園陸上競技場,12,29.8,51.0,7278,51,6,7,2006,18,8,15002,3
136,9326,2006-07-29,18:34,16,1,FC東京,広島,味の素スタジアム,12,27.7,72.0,31684,27,6,7,2006,18,1,48999,11
137,9327,2006-07-29,18:34,16,1,甲府,浦和,山梨県小瀬スポーツ公園陸上競技場,12,28.1,62.0,17000,35,6,7,2006,18,23,15859,20
138,9328,2006-07-29,19:05,16,1,鹿島,C大阪,県立カシマサッカースタジアム,12,24.1,88.0,14289,52,6,7,2006,19,28,37496,0
139,9329,2006-07-29,19:05,16,1,清水,磐田,静岡スタジアムエコパ,12,28.0,65.0,24920,57,6,7,2006,19,21,51697,24
140,9330,2006-07-29,19:04,16,1,G大阪,福岡,万博記念競技場,1,27.3,75.0,14621,21,6,7,2006,19,2,21000,26
141,9331,2006-07-29,19:04,16,1,大分,川崎F,九州石油ドーム,1,29.6,73.0,20873,22,6,7,2006,19,7,31997,10
142,9332,2006-07-30,19:04,16,2,千葉,名古屋,フクダ電子アリーナ,1,22.8,74.0,16961,14,0,7,2006,19,5,19470,6
143,9333,2006-07-30,19:04,16,2,横浜FM,新潟,日産スタジアム,12,24.7,59.0,24032,41,0,7,2006,19,19,72081,13
144,9334,2006-08-12,18:00,17,1,広島,清水,広島ビッグアーチ,1,27.3,82.0,10569,38,6,8,2006,18,11,36894,21
145,9335,2006-08-12,19:04,17,1,浦和,FC東京,埼玉スタジアム2002,1,24.1,88.0,50195,29,6,8,2006,19,20,62010,1
146,9336,2006-08-12,19:04,17,1,川崎F,横浜FM,等々力陸上競技場,12,24.1,81.0,20144,55,6,8,2006,19,10,26827,19
147,9337,2006-08-12,19:00,17,1,新潟,千葉,新潟スタジアム,1,27.2,59.0,41487,39,6,8,2006,19,13,41684,5
148,9338,2006-08-12,19:04,17,1,磐田,鹿島,静岡スタジアムエコパ,12,24.9,80.0,30353,57,6,8,2006,19,24,51697,28
149,9339,2006-08-12,19:01,17,1,名古屋,甲府,名古屋市瑞穂陸上競技場,12,27.1,73.0,12454,26,6,8,2006,19,6,20223,23
150,9340,2006-08-12,19:04,17,1,京都,G大阪,京都市西京極総合運動公園陸上競技場兼球技場,1,27.3,76.0,16089,23,6,8,2006,19,3,20588,2
151,9341,2006-08-12,19:00,17,1,C大阪,大宮,大阪長居スタジアム,1,29.4,69.0,12616,31,6,8,2006,19,0,47853,8
152,9342,2006-08-12,19:04,17,1,福岡,大分,東平尾公園博多の森球技場,1,28.7,75.0,18205,46,6,8,2006,19,26,22331,7
153,9343,2006-08-19,19:04,18,1,鹿島,浦和,県立カシマサッカースタジアム,12,27.8,82.0,34236,52,6,8,2006,19,28,37496,20
154,9344,2006-08-19,19:04,18,1,大宮,G大阪,さいたま市浦和駒場スタジアム,1,30.4,66.0,11355,4,6,8,2006,19,8,21500,2
155,9345,2006-08-19,19:04,18,1,新潟,川崎F,新潟スタジアム,1,29.8,83.0,38611,39,6,8,2006,19,13,41684,10
156,9346,2006-08-19,19:04,18,1,清水,甲府,日本平スタジアム,1,27.4,80.0,15410,40,6,8,2006,19,21,20248,23
157,9347,2006-08-19,19:00,18,1,名古屋,磐田,名古屋市瑞穂陸上競技場,1,28.4,80.0,14392,26,6,8,2006,19,6,20223,24
158,9348,2006-08-19,19:02,18,1,C大阪,横浜FM,大阪長居スタジアム,12,30.6,66.0,18609,31,6,8,2006,19,0,47853,19
159,9349,2006-08-19,19:00,18,1,福岡,京都,東平尾公園博多の森球技場,12,24.4,84.0,10387,46,6,8,2006,19,26,22331,3
160,9350,2006-08-20,18:05,18,2,広島,大分,広島ビッグアーチ,1,27.9,82.0,10145,38,0,8,2006,18,11,36894,7
161,9351,2006-08-20,19:04,18,2,千葉,FC東京,フクダ電子アリーナ,1,27.3,89.0,17261,14,0,8,2006,19,5,19470,1
162,9352,2006-08-23,19:04,19,1,浦和,新潟,埼玉スタジアム2002,1,27.6,84.0,34417,29,3,8,2006,19,20,62010,13
163,9353,2006-08-23,19:04,19,1,FC東京,福岡,国立競技場,12,28.6,64.0,18533,28,3,8,2006,19,1,54224,26
164,9354,2006-08-23,19:01,19,1,川崎F,名古屋,等々力陸上競技場,12,28.8,67.0,11306,55,3,8,2006,19,10,26827,6
165,9355,2006-08-23,19:05,19,1,横浜FM,大宮,横浜市三ツ沢公園球技場,12,27.1,80.0,11623,49,3,8,2006,19,19,15440,8
166,9356,2006-08-23,19:04,19,1,甲府,鹿島,山梨県小瀬スポーツ公園陸上競技場,12,27.3,76.0,12115,35,3,8,2006,19,23,15859,28
167,9357,2006-08-23,19:02,19,1,磐田,千葉,ヤマハスタジアム(磐田),12,27.6,81.0,11992,17,3,8,2006,19,24,15165,5
168,9358,2006-08-23,19:04,19,1,京都,C大阪,京都市西京極総合運動公園陸上競技場兼球技場,1,27.5,61.0,11291,23,3,8,2006,19,3,20588,0
169,9359,2006-08-23,19:04,19,1,G大阪,広島,万博記念競技場,1,27.4,55.0,17826,21,3,8,2006,19,2,21000,11
170,9360,2006-08-23,19:04,19,1,大分,清水,九州石油ドーム,1,29.3,70.0,18864,22,3,8,2006,19,7,31997,21
