,Unnamed: 0,id,match_date,kick_off_time,section,round,home_team,away_team,venue,weather,temperature,humidity,venue_id,day_of_the_week,month,year,holiday,kick_off_time_hour,home_team_id,capacity,away_team_id,home_C大阪,away_C大阪,home_FC東京,away_FC東京,home_G大阪,away_G大阪,home_京都,away_京都,home_仙台,away_仙台,home_千葉,away_千葉,home_名古屋,away_名古屋,home_大分,away_大分,home_大宮,away_大宮,home_山形,away_山形,home_川崎F,away_川崎F,home_広島,away_広島,home_徳島,away_徳島,home_新潟,away_新潟,home_札幌,away_札幌,home_東京V,away_東京V,home_松本,away_松本,home_柏,away_柏,home_横浜FC,away_横浜FC,home_横浜FM,away_横浜FM,home_浦和,away_浦和,home_清水,away_清水,home_湘南,away_湘南,home_甲府,away_甲府,home_磐田,away_磐田,home_神戸,away_神戸,home_福岡,away_福岡,home_鳥栖,away_鳥栖,home_鹿島,away_鹿島,score
0,0,19075,2017-02-25,12:35,1,1,横浜FM,浦和,日産スタジアム,10.2,10.2,45.0,41.0,6,2,2017,0,12,19.0,72081,20.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-4
1,1,19076,2017-02-25,14:04,1,1,仙台,札幌,ユアテックスタジアム仙台,10.6,10.6,36.0,19.0,6,2,2017,0,14,4.0,19694,14.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
2,2,19077,2017-02-25,14:04,1,1,鹿島,FC東京,県立カシマサッカースタジアム,10.1,10.1,63.0,52.0,6,2,2017,0,14,28.0,37496,1.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1
3,3,19078,2017-02-25,14:04,1,1,清水,神戸,IAIスタジアム日本平,15.0,15.0,40.0,0.0,6,2,2017,0,14,21.0,20248,25.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,-1
4,4,19079,2017-02-25,14:04,1,1,広島,新潟,エディオンスタジアム広島,11.2,11.2,45.0,7.0,6,2,2017,0,14,11.0,36894,13.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1
5,5,19080,2017-02-25,14:05,1,1,鳥栖,柏,ベストアメニティスタジアム,14.8,14.8,34.0,15.0,6,2,2017,0,14,27.0,24130,17.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0
6,6,19081,2017-02-25,15:03,1,1,C大阪,磐田,ヤンマースタジアム長居,9.7,9.7,41.0,18.0,6,2,2017,0,15,0.0,47853,24.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,-2
7,7,19082,2017-02-25,16:03,1,1,大宮,川崎F,NACK5スタジアム大宮,15.5,15.5,26.0,1.0,6,2,2017,0,16,8.0,15491,10.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
8,8,19083,2017-02-26,17:03,1,2,G大阪,甲府,市立吹田サッカースタジアム,9.6,9.6,35.0,36.0,0,2,2017,0,17,2.0,39694,23.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,-2
9,9,19084,2017-03-04,14:01,2,1,浦和,C大阪,埼玉スタジアム2002,13.4,13.4,39.0,29.0,6,3,2017,0,14,20.0,62010,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
10,10,19085,2017-03-04,14:04,2,1,甲府,鹿島,山梨中銀スタジアム,15.5,15.5,36.0,34.0,6,3,2017,0,14,23.0,15859,28.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,2
11,11,19086,2017-03-04,14:04,2,1,広島,清水,エディオンスタジアム広島,17.0,17.0,29.0,7.0,6,3,2017,0,14,11.0,36894,21.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1
12,12,19087,2017-03-04,15:04,2,1,FC東京,大宮,味の素スタジアム,18.4,18.4,35.0,27.0,6,3,2017,0,15,1.0,48999,8.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1
13,13,19088,2017-03-04,15:03,2,1,磐田,仙台,ヤマハスタジアム(磐田),17.5,17.5,21.0,17.0,6,3,2017,0,15,24.0,15165,4.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,2
14,14,19089,2017-03-04,16:03,2,1,神戸,新潟,ノエビアスタジアム神戸,13.6,13.6,49.0,12.0,6,3,2017,0,16,25.0,28425,13.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,-1
15,15,19090,2017-03-04,19:03,2,1,横浜FM,札幌,ニッパツ三ツ沢球技場,10.6,10.6,51.0,11.0,6,3,2017,0,19,19.0,15440,14.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
16,16,19091,2017-03-05,15:03,2,2,柏,G大阪,日立柏サッカー場,15.1,15.1,60.0,42.0,0,3,2017,0,15,17.0,15109,2.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3
17,17,19092,2017-03-05,17:03,2,2,川崎F,鳥栖,等々力陸上競技場,15.5,15.5,51.0,55.0,0,3,2017,0,17,10.0,26827,27.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,-2
18,18,19093,2017-03-10,19:03,3,1,鹿島,横浜FM,県立カシマサッカースタジアム,11.9,11.9,42.0,52.0,5,3,2017,0,19,28.0,37496,19.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0
19,19,19094,2017-03-10,19:03,3,1,川崎F,柏,等々力陸上競技場,11.4,11.4,29.0,55.0,5,3,2017,0,19,10.0,26827,17.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
20,20,19095,2017-03-10,19:33,3,1,浦和,甲府,埼玉スタジアム2002,10.7,10.7,29.0,29.0,5,3,2017,0,19,20.0,62010,23.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1
21,21,19096,2017-03-11,15:06,3,2,札幌,C大阪,札幌ドーム,24.1,24.1,45.0,43.0,6,3,2017,0,15,14.0,39856,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3
22,22,19097,2017-03-11,15:04,3,2,大宮,磐田,NACK5スタジアム大宮,13.7,13.7,20.0,1.0,6,3,2017,0,15,8.0,15491,24.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0
