,Unnamed: 0,id,match_date,kick_off_time,section,round,home_team,away_team,venue,weather,temperature,humidity,attendance,venue_id,day_of_the_week,month,year,holiday,kick_off_time_hour,home_team_id,capacity,away_team_id,home_C大阪,away_C大阪,home_FC東京,away_FC東京,home_G大阪,away_G大阪,home_京都,away_京都,home_仙台,away_仙台,home_千葉,away_千葉,home_名古屋,away_名古屋,home_大分,away_大分,home_大宮,away_大宮,home_山形,away_山形,home_川崎F,away_川崎F,home_広島,away_広島,home_徳島,away_徳島,home_新潟,away_新潟,home_札幌,away_札幌,home_東京V,away_東京V,home_松本,away_松本,home_柏,away_柏,home_横浜FC,away_横浜FC,home_横浜FM,away_横浜FM,home_浦和,away_浦和,home_清水,away_清水,home_湘南,away_湘南,home_甲府,away_甲府,home_磐田,away_磐田,home_神戸,away_神戸,home_福岡,away_福岡,home_鳥栖,away_鳥栖,home_鹿島,away_鹿島,score
0,0,9190,2006-03-04,16:04,1,1,G大阪,浦和,万博記念競技場,1,8.3,40.0,20916,21,6,3,2006,0,16,2,21000,20,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
1,1,9191,2006-03-05,13:00,1,2,甲府,清水,山梨県小瀬スポーツ公園陸上競技場,1,12.9,28.0,14277,35,0,3,2006,0,13,23,15859,21,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0
2,2,9192,2006-03-05,13:35,1,2,FC東京,大分,味の素スタジアム,1,12.1,35.0,22531,27,0,3,2006,0,13,1,48999,7,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-2
3,3,9193,2006-03-05,14:04,1,2,磐田,福岡,静岡スタジアムエコパ,1,11.6,42.0,28564,57,0,3,2006,0,14,24,51697,26,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,2
4,4,9194,2006-03-05,14:04,1,2,名古屋,C大阪,名古屋市瑞穂陸上競技場,1,13.1,32.0,17199,26,0,3,2006,0,14,6,20223,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
5,5,9195,2006-03-05,15:03,1,2,大宮,千葉,埼玉スタジアム2002,1,12.6,33.0,13085,29,0,3,2006,0,15,8,62010,5,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
6,6,9196,2006-03-05,15:00,1,2,川崎F,新潟,等々力陸上競技場,1,13.3,34.0,17444,55,0,3,2006,0,15,10,26827,13,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2
7,7,9197,2006-03-05,15:06,1,2,広島,鹿島,広島ビッグアーチ,12,12.4,58.0,17564,38,0,3,2006,0,15,11,36894,28,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,6
8,8,9198,2006-03-05,15:35,1,2,横浜FM,京都,日産スタジアム,1,12.6,34.0,23607,41,0,3,2006,0,15,19,72081,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1
9,9,9199,2006-03-11,14:04,2,1,浦和,磐田,埼玉スタジアム2002,1,16.0,48.0,56512,29,6,3,2006,0,14,20,62010,24,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,3
10,10,9200,2006-03-11,15:02,2,1,千葉,甲府,フクダ電子アリーナ,1,15.3,51.0,11896,14,6,3,2006,0,15,5,19470,23,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,2
