,id,match_date,kick_off_time,section,round,home_team,away_team,venue,weather,temperature,humidity,venue_id,day_of_the_week,month,year,holiday,kick_off_time_hour,home_team_id,capacity,away_team_id
0,19075,2017-02-25,12:35,1,1,横浜FM,浦和,日産スタジアム,1.0,10.2,45.0,41.0,6,2,2017,0,12,19.0,72081,20.0
1,19076,2017-02-25,14:04,1,1,仙台,札幌,ユアテックスタジアム仙台,12.0,10.6,36.0,19.0,6,2,2017,0,14,4.0,19694,14.0
2,19077,2017-02-25,14:04,1,1,鹿島,FC東京,県立カシマサッカースタジアム,1.0,10.1,63.0,52.0,6,2,2017,0,14,28.0,37496,1.0
3,19078,2017-02-25,14:04,1,1,清水,神戸,IAIスタジアム日本平,1.0,15.0,40.0,0.0,6,2,2017,0,14,21.0,20248,25.0
4,19079,2017-02-25,14:04,1,1,広島,新潟,エディオンスタジアム広島,1.0,11.2,45.0,7.0,6,2,2017,0,14,11.0,36894,13.0
5,19080,2017-02-25,14:05,1,1,鳥栖,柏,ベストアメニティスタジアム,1.0,14.8,34.0,15.0,6,2,2017,0,14,27.0,24130,17.0
6,19081,2017-02-25,15:03,1,1,C大阪,磐田,ヤンマースタジアム長居,1.0,9.7,41.0,18.0,6,2,2017,0,15,0.0,47853,24.0
7,19082,2017-02-25,16:03,1,1,大宮,川崎F,NACK5スタジアム大宮,1.0,15.5,26.0,1.0,6,2,2017,0,16,8.0,15491,10.0
8,19083,2017-02-26,17:03,1,2,G大阪,甲府,市立吹田サッカースタジアム,12.0,9.6,35.0,36.0,0,2,2017,0,17,2.0,39694,23.0
9,19084,2017-03-04,14:01,2,1,浦和,C大阪,埼玉スタジアム2002,1.0,13.4,39.0,29.0,6,3,2017,0,14,20.0,62010,0.0
10,19085,2017-03-04,14:04,2,1,甲府,鹿島,山梨中銀スタジアム,1.0,15.5,36.0,34.0,6,3,2017,0,14,23.0,15859,28.0
11,19086,2017-03-04,14:04,2,1,広島,清水,エディオンスタジアム広島,1.0,17.0,29.0,7.0,6,3,2017,0,14,11.0,36894,21.0
12,19087,2017-03-04,15:04,2,1,FC東京,大宮,味の素スタジアム,1.0,18.4,35.0,27.0,6,3,2017,0,15,1.0,48999,8.0
13,19088,2017-03-04,15:03,2,1,磐田,仙台,ヤマハスタジアム(磐田),1.0,17.5,21.0,17.0,6,3,2017,0,15,24.0,15165,4.0
14,19089,2017-03-04,16:03,2,1,神戸,新潟,ノエビアスタジアム神戸,1.0,13.6,49.0,12.0,6,3,2017,0,16,25.0,28425,13.0
15,19090,2017-03-04,19:03,2,1,横浜FM,札幌,ニッパツ三ツ沢球技場,1.0,10.6,51.0,11.0,6,3,2017,0,19,19.0,15440,14.0
16,19091,2017-03-05,15:03,2,2,柏,G大阪,日立柏サッカー場,12.0,15.1,60.0,42.0,0,3,2017,0,15,17.0,15109,2.0
17,19092,2017-03-05,17:03,2,2,川崎F,鳥栖,等々力陸上競技場,12.0,15.5,51.0,55.0,0,3,2017,0,17,10.0,26827,27.0
18,19093,2017-03-10,19:03,3,1,鹿島,横浜FM,県立カシマサッカースタジアム,1.0,11.9,42.0,52.0,5,3,2017,0,19,28.0,37496,19.0
19,19094,2017-03-10,19:03,3,1,川崎F,柏,等々力陸上競技場,1.0,11.4,29.0,55.0,5,3,2017,0,19,10.0,26827,17.0
20,19095,2017-03-10,19:33,3,1,浦和,甲府,埼玉スタジアム2002,1.0,10.7,29.0,29.0,5,3,2017,0,19,20.0,62010,23.0
21,19096,2017-03-11,15:06,3,2,札幌,C大阪,札幌ドーム,0.0,24.1,45.0,43.0,6,3,2017,0,15,14.0,39856,0.0
22,19097,2017-03-11,15:04,3,2,大宮,磐田,NACK5スタジアム大宮,1.0,13.7,20.0,1.0,6,3,2017,0,15,8.0,15491,24.0
23,19098,2017-03-11,15:05,3,2,鳥栖,広島,ベストアメニティスタジアム,1.0,17.0,27.0,15.0,6,3,2017,0,15,27.0,24130,11.0
24,19099,2017-03-11,15:35,3,2,新潟,清水,デンカビッグスワンスタジアム,1.0,8.1,43.0,10.0,6,3,2017,0,15,13.0,41684,21.0
