,id,match_date,kick_off_time,section,round,home_team,away_team,venue,weather,temperature,humidity,attendance,day_of_the_week,kick_off_time_hour,month,home_team_id,capacity,away_team_id,match_date_tear
0,9190,"2006,3,4",16:04,1,1,G大阪,浦和,21,1,8.3,40,20916,6,16,3,2,21000,20,2006
1,9191,"2006,3,5",13:00,1,2,甲府,清水,35,1,12.9,28,14277,0,13,3,23,15859,21,2006
2,9192,"2006,3,5",13:35,1,2,FC東京,大分,27,1,12.1,35,22531,0,13,3,1,48999,7,2006
3,9193,"2006,3,5",14:04,1,2,磐田,福岡,57,1,11.6,42,28564,0,14,3,24,51697,26,2006
4,9194,"2006,3,5",14:04,1,2,名古屋,C大阪,26,1,13.1,32,17199,0,14,3,6,20223,0,2006
5,9195,"2006,3,5",15:03,1,2,大宮,千葉,29,1,12.6,33,13085,0,15,3,8,62010,5,2006
6,9196,"2006,3,5",15:00,1,2,川崎F,新潟,55,1,13.3,34,17444,0,15,3,10,26827,13,2006
7,9197,"2006,3,5",15:06,1,2,広島,鹿島,38,12,12.4,58,17564,0,15,3,11,36894,28,2006
8,9198,"2006,3,5",15:35,1,2,横浜FM,京都,41,1,12.6,34,23607,0,15,3,19,72081,3,2006
9,9199,"2006,3,11",14:04,2,1,浦和,磐田,29,1,16.0,48,56512,6,14,3,20,62010,24,2006
10,9200,"2006,3,11",15:02,2,1,千葉,甲府,14,1,15.3,51,11896,6,15,3,5,19470,23,2006
11,9201,"2006,3,11",15:04,2,1,新潟,FC東京,39,12,15.4,43,40266,6,15,3,13,41684,1,2006
12,9202,"2006,3,11",15:04,2,1,清水,名古屋,40,12,13.6,70,13054,6,15,3,21,20248,6,2006
13,9203,"2006,3,11",16:03,2,1,鹿島,横浜FM,52,1,13.8,66,22454,6,16,3,28,37496,19,2006
14,9204,"2006,3,11",16:06,2,1,京都,川崎F,23,1,16.4,50,7921,6,16,3,3,20588,10,2006
15,9205,"2006,3,11",19:04,2,1,福岡,大宮,46,12,15.4,66,12040,6,19,3,26,22331,8,2006
16,9206,"2006,3,12",14:06,2,2,大分,広島,22,0,9.4,54,17043,0,14,3,7,31997,11,2006
17,9207,"2006,3,12",15:06,2,2,C大阪,G大阪,31,12,10.6,67,30561,0,15,3,0,47853,2,2006
18,9208,"2006,3,18",14:04,3,1,FC東京,清水,27,26,14.8,44,19011,6,14,3,1,48999,21,2006
19,9209,"2006,3,18",14:03,3,1,磐田,京都,17,32,11.6,80,10560,6,14,3,24,15165,3,2006
20,9210,"2006,3,18",14:05,3,1,広島,浦和,38,32,8.4,87,16742,6,14,3,11,36894,20,2006
21,9211,"2006,3,18",15:01,3,1,大宮,新潟,29,12,15.3,46,9368,6,15,3,8,62010,13,2006
22,9212,"2006,3,18",15:04,3,1,甲府,川崎F,35,12,14.7,39,9082,6,15,3,23,15859,10,2006
23,9213,"2006,3,18",15:33,3,1,名古屋,鹿島,56,0,10.3,73,22651,6,15,3,6,41255,28,2006
